"customer_id","age","gender","marital_status","education_level","annual_income","loan_amount","credit_score","employment_years","employment_type","loan_purpose","home_ownership","debt_to_income_ratio","existing_loans","loan_term_months","interest_rate","loan_status","application_date","application_year","application_month","income_bracket","credit_score_band"
610248368,49.0,"Male","Married","Bachelor",54421.59,247530.12,675.0,35.2,"Unknown","Personal","Own",0.221,1.0,24.0,23.16,"Approved","2018-10-02",2018.0,10.0,"Upper-Mid (40-60K)","Good"
330807423,46.0,"Male","Single","Master",27052.53,352987.77,627.0,38.0,"Self-Employed","Education","Other",0.649,1.0,48.0,8.23,"Approved","2019-08-14",2019.0,8.0,"Lower-Mid (20-40K)","Fair"
447201927,28.0,"Male","Divorced","Unknown",102907.00,261578.19,726.0,37.8,"Self-Employed","Education","Rent",0.094,2.0,60.0,6.87,"Approved",NULL,NULL,NULL,"High (60K+)","Good"
662387884,42.0,"Female","Married","Phd",27329.54,468102.62,689.0,22.9,"Full-Time","Personal","Mortgage",0.655,0.0,240.0,5.71,"Approved","2025-08-04",2025.0,8.0,"Lower-Mid (20-40K)","Good"
713932544,45.0,"Female","Married","High School",22245.13,247530.12,696.0,29.5,"Full-Time","Home","Mortgage",0.110,1.0,48.0,19.07,"Approved","2019-03-20",2019.0,3.0,"Lower-Mid (20-40K)","Good"
383194443,24.0,"Male","Divorced","Bachelor",21102.74,87607.32,584.0,38.8,"Part-Time","Home","Mortgage",0.470,1.0,48.0,22.64,"Approved","2016-05-01",2016.0,5.0,"Lower-Mid (20-40K)","Fair"
848743479,37.0,"Female","Single","Bachelor",14381.33,43390.93,703.0,4.7,"Full-Time","Home","Mortgage",0.025,1.0,360.0,15.28,"Approved","2020-02-10",2020.0,2.0,"Low (<20K)","Good"
263834106,35.0,"Unknown","Single","High School",15337.32,195912.54,631.0,12.0,"Part-Time","Personal","Rent",0.292,2.0,60.0,20.33,"Rejected","2024-03-27",2024.0,3.0,"Low (<20K)","Fair"
840097030,33.0,"Female","Single","High School",45147.82,261471.52,614.0,7.2,"Full-Time","Home","Mortgage",0.150,4.0,240.0,6.76,"Approved","2016-08-17",2016.0,8.0,"Upper-Mid (40-60K)","Fair"
785448979,35.0,"Male","Single","Unknown",72029.97,450418.67,695.0,35.9,"Self-Employed","Unknown","Unknown",0.360,0.0,240.0,18.13,"Approved","2022-08-16",2022.0,8.0,"High (60K+)","Good"
933359292,34.0,"Male","Single","Bachelor",38048.09,95386.55,744.0,19.9,"Full-Time","Home","Own",0.271,2.0,120.0,20.58,"Approved","2016-11-16",2016.0,11.0,"Lower-Mid (20-40K)","Very Good"
512200639,71.0,"Male","Single","High School",38762.84,73366.56,618.0,9.0,"Full-Time","Home","Other",0.802,0.0,48.0,23.42,"Approved","2016-04-10",2016.0,4.0,"Lower-Mid (20-40K)","Fair"
968115781,21.0,"Female","Single","High School",23863.27,129809.48,825.0,12.9,"Part-Time","Personal","Rent",0.840,1.0,36.0,4.50,"Approved","2017-01-31",2017.0,1.0,"Lower-Mid (20-40K)","Excellent"
871067704,63.0,"Male","Single","High School",54603.79,133184.93,761.0,37.7,"Unknown","Home","Rent",0.194,2.0,60.0,24.03,"Approved",NULL,NULL,NULL,"Upper-Mid (40-60K)","Very Good"
878273944,41.0,"Male","Single","Bachelor",30921.46,344437.95,537.0,29.5,"Self-Employed","Personal","Own",0.432,0.0,180.0,11.24,"Approved","2024-06-02",2024.0,6.0,"Lower-Mid (20-40K)","Poor"
154046903,24.0,"Male","Married","Unknown",58606.23,5730.87,617.0,20.9,"Full-Time","Home","Own",0.666,1.0,12.0,23.15,"Approved","2017-07-09",2017.0,7.0,"Upper-Mid (40-60K)","Fair"
206941365,68.0,"Male","Single","Bachelor",46455.43,454671.91,536.0,28.1,"Full-Time","Unknown","Own",0.329,1.0,60.0,22.43,"Approved","2020-09-30",2020.0,9.0,"Upper-Mid (40-60K)","Poor"
103275888,49.0,"Female","Married","Bachelor",10585.68,477215.26,702.0,21.9,"Unemployed","Education","Mortgage",0.530,2.0,36.0,9.12,"Rejected","2019-04-22",2019.0,4.0,"Low (<20K)","Good"
531854331,73.0,"Female","Single","Phd",33257.31,494246.03,807.0,27.5,"Unemployed","Car","Own",0.583,1.0,36.0,23.56,"Approved","2017-10-10",2017.0,10.0,"Lower-Mid (20-40K)","Excellent"
121019837,74.0,"Male","Single","High School",26822.81,26456.24,640.0,29.8,"Full-Time","Business","Own",0.633,2.0,24.0,13.06,"Approved","2017-07-30",2017.0,7.0,"Lower-Mid (20-40K)","Fair"
959549632,44.0,"Female","Single","High School",12353.62,267360.71,718.0,36.7,"Full-Time","Car","Mortgage",0.367,1.0,120.0,19.26,"Approved","2016-11-10",2016.0,11.0,"Low (<20K)","Good"
535056930,71.0,"Male","Single","Bachelor",76598.88,40100.40,737.0,10.3,"Self-Employed","Business","Own",0.810,1.0,12.0,18.72,"Approved","2017-01-30",2017.0,1.0,"High (60K+)","Good"
847550921,20.0,"Unknown","Married","Bachelor",81767.79,15983.27,679.0,19.7,"Part-Time","Personal","Own",0.746,0.0,24.0,24.14,"Approved","2017-04-10",2017.0,4.0,"High (60K+)","Good"
308262606,30.0,"Female","Single","High School",37448.33,217319.46,695.0,36.0,"Full-Time","Car","Rent",0.148,3.0,60.0,5.93,"Rejected","2023-08-26",2023.0,8.0,"Lower-Mid (20-40K)","Good"
275077926,20.0,"Female","Unknown","High School",14005.81,140361.94,656.0,25.7,"Part-Time","Personal","Mortgage",0.266,1.0,180.0,4.25,"Approved","2019-08-07",2019.0,8.0,"Low (<20K)","Fair"
783451140,25.0,"Female","Married","Diploma",17211.62,79500.35,679.0,39.3,"Unemployed","Home","Rent",0.807,3.0,60.0,13.14,"Approved","2021-04-26",2021.0,4.0,"Low (<20K)","Good"
905861870,19.0,"Female","Widowed","Master",9802.01,247530.12,541.0,19.7,"Full-Time","Personal","Mortgage",0.263,0.0,240.0,4.81,"Approved","2024-09-20",2024.0,9.0,"Low (<20K)","Poor"
671958409,19.0,"Male","Single","Phd",31312.77,217969.66,587.0,19.7,"Part-Time","Unknown","Own",0.432,2.0,48.0,18.80,"Approved","2017-03-20",2017.0,3.0,"Lower-Mid (20-40K)","Fair"
953950295,46.0,"Male","Married","Bachelor",28006.16,385511.25,596.0,16.1,"Full-Time","Business","Mortgage",0.119,4.0,12.0,15.17,"Approved","2018-11-07",2018.0,11.0,"Lower-Mid (20-40K)","Fair"
678315459,56.0,"Male","Married","High School",29579.72,102051.05,679.0,28.4,"Part-Time","Education","Own",0.305,2.0,12.0,10.06,"Approved","2025-12-06",2025.0,12.0,"Lower-Mid (20-40K)","Good"
101760328,64.0,"Female","Married","Bachelor",43442.11,239038.73,688.0,39.5,"Full-Time","Home","Own",0.734,1.0,120.0,23.90,"Approved","2018-07-24",2018.0,7.0,"Upper-Mid (40-60K)","Good"
561602643,19.0,"Male","Divorced","High School",23234.10,275826.41,698.0,32.6,"Full-Time","Car","Rent",0.151,0.0,48.0,10.02,"Rejected","2023-12-24",2023.0,12.0,"Lower-Mid (20-40K)","Good"
825906352,72.0,"Female","Married","Bachelor",40548.51,441488.30,538.0,25.1,"Full-Time","Education","Rent",0.830,0.0,360.0,19.51,"Approved","2022-12-16",2022.0,12.0,"Upper-Mid (40-60K)","Poor"
930456065,26.0,"Female","Divorced","High School",20712.41,245463.02,725.0,7.4,"Unemployed","Unknown","Rent",0.809,0.0,36.0,11.85,"Rejected","2023-05-29",2023.0,5.0,"Lower-Mid (20-40K)","Good"
531532432,72.0,"Male","Married","Bachelor",49440.66,78698.57,688.0,34.6,"Full-Time","Unknown","Mortgage",0.290,0.0,60.0,23.69,"Approved","2016-01-15",2016.0,1.0,"Upper-Mid (40-60K)","Good"
979820150,24.0,"Male","Married","Diploma",36771.88,98726.79,708.0,37.8,"Self-Employed","Car","Mortgage",0.372,3.0,180.0,13.88,"Rejected","2017-12-15",2017.0,12.0,"Lower-Mid (20-40K)","Good"
588352684,35.0,"Male","Single","Bachelor",96970.14,414621.50,679.0,26.9,"Full-Time","Personal","Other",0.621,4.0,360.0,5.85,"Approved","2021-11-26",2021.0,11.0,"High (60K+)","Good"
625638236,44.0,"Other","Divorced","High School",21789.30,206657.75,620.0,20.0,"Part-Time","Home","Mortgage",0.683,4.0,24.0,4.49,"Approved","2019-04-04",2019.0,4.0,"Lower-Mid (20-40K)","Fair"
964355068,48.0,"Female","Single","High School",24234.67,75808.24,738.0,19.5,"Full-Time","Unknown","Rent",0.411,0.0,120.0,18.91,"Approved","2017-12-06",2017.0,12.0,"Lower-Mid (20-40K)","Good"
524155415,51.0,"Female","Married","Master",36836.32,402589.59,609.0,4.7,"Unknown","Car","Mortgage",0.094,3.0,120.0,17.91,"Approved",NULL,NULL,NULL,"Lower-Mid (20-40K)","Fair"
213879785,70.0,"Female","Unknown","Bachelor",104208.41,208858.02,657.0,33.5,"Self-Employed","Car","Mortgage",0.126,0.0,360.0,13.45,"Approved","2020-12-12",2020.0,12.0,"High (60K+)","Fair"
477604899,37.0,"Male","Married","Master",23050.71,164013.41,688.0,4.7,"Full-Time","Business","Own",0.730,2.0,24.0,7.64,"Approved","2020-01-06",2020.0,1.0,"Lower-Mid (20-40K)","Good"
943986368,39.0,"Male","Single","Unknown",34417.19,209876.44,575.0,32.8,"Full-Time","Personal","Own",0.790,5.0,120.0,17.57,"Rejected","2025-09-07",2025.0,9.0,"Lower-Mid (20-40K)","Poor"
180090429,44.0,"Female","Married","Master",46756.51,474046.37,678.0,38.3,"Unemployed","Home","Mortgage",0.154,0.0,120.0,18.25,"Approved","2019-10-31",2019.0,10.0,"Upper-Mid (40-60K)","Good"
992982663,56.0,"Female","Divorced","Bachelor",39155.82,147106.84,690.0,19.7,"Full-Time","Personal","Own",0.539,3.0,120.0,6.17,"Approved","2017-09-30",2017.0,9.0,"Lower-Mid (20-40K)","Good"
374855063,56.0,"Female","Single","High School",35297.97,379519.52,519.0,0.2,"Unemployed","Home","Mortgage",0.252,0.0,48.0,21.93,"Approved","2023-12-27",2023.0,12.0,"Lower-Mid (20-40K)","Poor"
871276892,65.0,"Male","Married","High School",32236.14,372487.50,679.0,6.1,"Part-Time","Home","Own",0.747,1.0,24.0,8.79,"Rejected","2020-02-28",2020.0,2.0,"Lower-Mid (20-40K)","Good"
411923447,73.0,"Female","Single","Master",24457.30,247530.12,799.0,20.2,"Full-Time","Car","Mortgage",0.740,3.0,240.0,13.77,"Rejected","2025-02-07",2025.0,2.0,"Lower-Mid (20-40K)","Very Good"
712959456,22.0,"Female","Married","Master",7022.76,459855.74,746.0,39.0,"Full-Time","Personal","Mortgage",0.691,0.0,60.0,9.54,"Approved","2023-08-15",2023.0,8.0,"Low (<20K)","Very Good"
211879829,67.0,"Male","Married","Master",23557.31,448286.57,616.0,10.7,"Full-Time","Home","Own",0.501,3.0,12.0,10.98,"Approved","2018-05-19",2018.0,5.0,"Lower-Mid (20-40K)","Fair"
458664548,46.0,"Male","Single","High School",41679.91,130796.32,720.0,7.0,"Full-Time","Personal","Mortgage",0.062,1.0,360.0,2.89,"Approved","2021-01-25",2021.0,1.0,"Upper-Mid (40-60K)","Good"
971203747,61.0,"Female","Divorced","Master",39373.37,220494.63,679.0,19.7,"Unknown","Home","Mortgage",0.161,1.0,60.0,18.03,"Approved","2024-08-11",2024.0,8.0,"Lower-Mid (20-40K)","Good"
302873313,45.0,"Female","Divorced","High School",26737.49,173796.12,714.0,36.6,"Unemployed","Business","Own",0.549,0.0,48.0,20.60,"Approved","2016-12-18",2016.0,12.0,"Lower-Mid (20-40K)","Good"
542288707,32.0,"Male","Single","Phd",25998.46,224895.51,571.0,19.7,"Part-Time","Home","Own",0.275,1.0,60.0,24.10,"Approved","2019-04-12",2019.0,4.0,"Lower-Mid (20-40K)","Poor"
358596731,46.0,"Female","Widowed","High School",56539.65,273902.64,711.0,2.3,"Full-Time","Education","Other",0.593,0.0,60.0,24.30,"Rejected","2016-04-27",2016.0,4.0,"Upper-Mid (40-60K)","Good"
776025563,46.0,"Female","Married","High School",227242.67,94743.21,750.0,29.6,"Full-Time","Home","Other",0.654,2.0,60.0,18.39,"Approved","2025-11-05",2025.0,11.0,"High (60K+)","Very Good"
240530145,61.0,"Female","Married","Bachelor",25555.99,247530.12,754.0,24.8,"Unemployed","Home","Rent",0.167,2.0,180.0,3.06,"Approved","2017-10-07",2017.0,10.0,"Lower-Mid (20-40K)","Very Good"
616903955,68.0,"Female","Single","High School",48057.23,343850.92,695.0,37.7,"Part-Time","Home","Rent",0.685,2.0,240.0,8.88,"Approved","2023-02-24",2023.0,2.0,"Upper-Mid (40-60K)","Good"
887448595,20.0,"Female","Single","High School",33257.31,258100.67,595.0,11.2,"Full-Time","Car","Own",0.719,1.0,60.0,14.70,"Approved","2024-01-08",2024.0,1.0,"Lower-Mid (20-40K)","Fair"
824806779,57.0,"Female","Unknown","Master",59164.54,318931.92,612.0,8.9,"Part-Time","Home","Other",0.189,1.0,24.0,2.57,"Approved","2016-01-20",2016.0,1.0,"Upper-Mid (40-60K)","Fair"
771832805,29.0,"Male","Single","Master",26099.69,247530.12,622.0,3.0,"Part-Time","Personal","Own",0.476,1.0,24.0,7.10,"Approved","2016-08-01",2016.0,8.0,"Lower-Mid (20-40K)","Fair"
287131721,38.0,"Male","Divorced","Bachelor",39532.27,145847.21,771.0,30.4,"Full-Time","Car","Own",0.675,1.0,360.0,18.46,"Approved","2025-09-07",2025.0,9.0,"Lower-Mid (20-40K)","Very Good"
875033821,57.0,"Male","Single","High School",36532.52,158564.84,710.0,21.1,"Unknown","Personal","Mortgage",0.658,2.0,60.0,5.17,"Approved","2022-12-06",2022.0,12.0,"Lower-Mid (20-40K)","Good"
500742353,46.0,"Male","Married","Phd",59612.19,486058.29,675.0,26.3,"Unemployed","Home","Mortgage",0.360,0.0,36.0,22.32,"Approved","2025-08-02",2025.0,8.0,"Upper-Mid (40-60K)","Good"
316204703,56.0,"Female","Single","Bachelor",10126.26,130537.41,622.0,10.4,"Full-Time","Education","Own",0.161,2.0,120.0,19.20,"Approved","2016-02-10",2016.0,2.0,"Low (<20K)","Fair"
840340866,68.0,"Female","Married","Master",18938.97,29659.85,632.0,29.3,"Full-Time","Education","Mortgage",0.475,2.0,36.0,19.65,"Approved","2019-08-27",2019.0,8.0,"Low (<20K)","Fair"
116987219,54.0,"Male","Married","High School",42986.17,397326.17,587.0,5.4,"Full-Time","Unknown","Rent",0.169,1.0,24.0,11.81,"Approved","2020-02-27",2020.0,2.0,"Upper-Mid (40-60K)","Fair"
857862322,29.0,"Male","Single","High School",15127.16,358983.06,722.0,16.6,"Full-Time","Home","Own",0.380,0.0,120.0,20.36,"Rejected","2020-09-30",2020.0,9.0,"Low (<20K)","Good"
629379730,54.0,"Male","Single","Bachelor",32094.13,75551.61,724.0,19.3,"Full-Time","Personal","Own",0.085,1.0,360.0,21.50,"Rejected","2018-02-17",2018.0,2.0,"Lower-Mid (20-40K)","Good"
677157141,23.0,"Male","Single","Diploma",42571.23,323892.20,769.0,5.2,"Self-Employed","Education","Own",0.117,1.0,24.0,22.13,"Approved","2019-10-23",2019.0,10.0,"Upper-Mid (40-60K)","Very Good"
774190967,40.0,"Female","Single","Diploma",23170.53,125753.67,774.0,11.9,"Unknown","Home","Other",0.200,3.0,60.0,12.30,"Rejected","2018-04-08",2018.0,4.0,"Lower-Mid (20-40K)","Very Good"
198381379,46.0,"Female","Single","Bachelor",29906.41,58994.73,771.0,9.4,"Full-Time","Car","Other",0.713,0.0,36.0,13.88,"Approved","2020-10-06",2020.0,10.0,"Lower-Mid (20-40K)","Very Good"
139237835,25.0,"Female","Single","Diploma",31991.86,274029.89,748.0,3.2,"Full-Time","Home","Mortgage",0.092,2.0,48.0,9.54,"Approved","2024-02-23",2024.0,2.0,"Lower-Mid (20-40K)","Very Good"
808179898,38.0,"Male","Married","High School",61581.53,96320.34,584.0,12.5,"Full-Time","Home","Mortgage",0.545,1.0,360.0,21.55,"Approved","2023-08-01",2023.0,8.0,"High (60K+)","Fair"
766574895,48.0,"Male","Divorced","Master",103548.02,247530.12,705.0,24.8,"Self-Employed","Car","Mortgage",0.497,2.0,60.0,20.15,"Approved","2022-08-10",2022.0,8.0,"High (60K+)","Good"
106128400,74.0,"Female","Single","High School",83830.28,215472.74,679.0,30.1,"Full-Time","Car","Mortgage",0.828,2.0,120.0,13.88,"Rejected","2021-02-13",2021.0,2.0,"High (60K+)","Good"
818379532,18.0,"Unknown","Married","Master",35352.38,246129.69,699.0,9.5,"Unknown","Home","Rent",0.432,1.0,180.0,15.93,"Approved","2023-04-01",2023.0,4.0,"Lower-Mid (20-40K)","Good"
496263773,60.0,"Female","Married","Master",54203.39,247530.12,850.0,11.0,"Full-Time","Home","Mortgage",0.639,0.0,48.0,12.75,"Approved","2025-08-16",2025.0,8.0,"Upper-Mid (40-60K)","Excellent"
913901931,60.0,"Male","Single","High School",33257.31,8126.67,794.0,0.2,"Part-Time","Education","Mortgage",0.330,0.0,12.0,10.00,"Rejected","2016-02-01",2016.0,2.0,"Lower-Mid (20-40K)","Very Good"
999342057,61.0,"Male","Married","Bachelor",15976.67,153400.45,720.0,28.4,"Full-Time","Home","Mortgage",0.432,1.0,24.0,15.79,"Approved","2024-08-30",2024.0,8.0,"Low (<20K)","Good"
236302985,47.0,"Male","Divorced","Master",23372.78,223894.64,536.0,1.3,"Full-Time","Personal","Own",0.171,1.0,240.0,7.29,"Rejected","2020-03-22",2020.0,3.0,"Lower-Mid (20-40K)","Poor"
204563532,50.0,"Male","Single","Master",13399.93,415060.63,598.0,31.1,"Part-Time","Personal","Own",0.409,2.0,60.0,11.10,"Approved","2018-07-31",2018.0,7.0,"Low (<20K)","Fair"
892975171,18.0,"Female","Single","High School",41725.85,361033.90,641.0,26.1,"Unemployed","Home","Unknown",0.432,3.0,36.0,12.42,"Rejected","2021-12-08",2021.0,12.0,"Upper-Mid (40-60K)","Fair"
942502766,52.0,"Female","Married","Master",47174.37,341005.04,630.0,11.4,"Self-Employed","Personal","Rent",0.621,1.0,36.0,23.98,"Approved","2021-09-25",2021.0,9.0,"Upper-Mid (40-60K)","Fair"
885609013,54.0,"Unknown","Unknown","Master",58966.27,174764.09,714.0,11.7,"Full-Time","Home","Mortgage",0.432,1.0,120.0,3.36,"Approved","2018-02-14",2018.0,2.0,"Upper-Mid (40-60K)","Good"
976136444,43.0,"Male","Married","Bachelor",10159.22,473218.05,656.0,22.5,"Full-Time","Personal","Mortgage",0.036,1.0,240.0,23.35,"Approved","2025-11-24",2025.0,11.0,"Low (<20K)","Fair"
328185999,46.0,"Male","Unknown","Bachelor",13189.32,132684.32,694.0,19.7,"Full-Time","Home","Rent",0.061,0.0,12.0,19.20,"Approved","2022-11-25",2022.0,11.0,"Low (<20K)","Good"
760304699,55.0,"Male","Single","High School",82133.90,95615.74,613.0,3.4,"Self-Employed","Car","Own",0.719,1.0,240.0,10.62,"Approved","2025-02-20",2025.0,2.0,"High (60K+)","Fair"
352770339,67.0,"Male","Single","High School",39151.63,234647.55,679.0,36.9,"Full-Time","Business","Unknown",0.169,2.0,12.0,15.89,"Approved","2025-01-26",2025.0,1.0,"Lower-Mid (20-40K)","Good"
740460592,46.0,"Female","Single","Unknown",37745.55,180641.97,679.0,28.8,"Full-Time","Home","Mortgage",0.633,2.0,60.0,16.91,"Rejected","2021-12-15",2021.0,12.0,"Lower-Mid (20-40K)","Good"
497691140,73.0,"Male","Single","Phd",43315.46,313403.03,742.0,24.5,"Part-Time","Personal","Rent",0.284,0.0,60.0,23.19,"Rejected","2023-06-03",2023.0,6.0,"Upper-Mid (40-60K)","Very Good"
346589227,27.0,"Female","Single","High School",25080.07,149918.69,634.0,16.5,"Part-Time","Personal","Mortgage",0.037,0.0,24.0,11.91,"Approved","2020-04-29",2020.0,4.0,"Lower-Mid (20-40K)","Fair"
609089242,34.0,"Female","Unknown","Bachelor",14992.33,247530.12,679.0,5.2,"Full-Time","Home","Own",0.403,2.0,120.0,13.88,"Approved","2023-01-13",2023.0,1.0,"Low (<20K)","Good"
716877622,64.0,"Female","Single","Master",16459.61,330484.14,659.0,38.5,"Unemployed","Car","Mortgage",0.320,3.0,240.0,14.27,"Approved","2018-02-03",2018.0,2.0,"Low (<20K)","Fair"
937725739,70.0,"Female","Married","Master",50538.51,108091.89,672.0,6.0,"Unemployed","Business","Unknown",0.096,1.0,48.0,13.88,"Approved","2019-04-16",2019.0,4.0,"Upper-Mid (40-60K)","Good"
949992687,67.0,"Male","Single","Bachelor",33257.31,452954.45,709.0,29.4,"Part-Time","Home","Rent",0.409,2.0,180.0,13.88,"Rejected","2017-02-21",2017.0,2.0,"Lower-Mid (20-40K)","Good"
522628567,52.0,"Male","Married","High School",32444.18,488037.10,701.0,35.2,"Full-Time","Car","Own",0.432,0.0,120.0,18.99,"Approved","2016-02-23",2016.0,2.0,"Lower-Mid (20-40K)","Good"
783901901,62.0,"Female","Widowed","Bachelor",32565.30,15097.31,664.0,24.7,"Self-Employed","Medical","Mortgage",0.631,1.0,36.0,7.57,"Approved","2019-04-26",2019.0,4.0,"Lower-Mid (20-40K)","Fair"
794538279,46.0,"Male","Single","High School",52149.44,247530.12,795.0,19.7,"Part-Time","Personal","Rent",0.626,0.0,60.0,2.74,"Rejected","2020-07-26",2020.0,7.0,"Upper-Mid (40-60K)","Very Good"
492889475,46.0,"Female","Married","Bachelor",127219.96,208923.96,584.0,2.3,"Unknown","Home","Own",0.383,2.0,120.0,18.17,"Rejected","2018-02-17",2018.0,2.0,"High (60K+)","Fair"
480390813,58.0,"Female","Single","High School",93302.11,122580.93,618.0,9.5,"Full-Time","Personal","Own",0.746,3.0,240.0,4.16,"Approved",NULL,NULL,NULL,"High (60K+)","Fair"
663115916,66.0,"Female","Single","Bachelor",49747.39,58812.45,659.0,5.0,"Full-Time","Car","Unknown",0.235,2.0,12.0,7.32,"Approved","2019-03-13",2019.0,3.0,"Upper-Mid (40-60K)","Fair"
239833804,58.0,"Female","Divorced","Unknown",49215.33,250759.80,502.0,21.3,"Full-Time","Car","Own",0.694,0.0,24.0,14.74,"Approved","2022-05-05",2022.0,5.0,"Upper-Mid (40-60K)","Poor"
352259151,44.0,"Male","Single","Master",24099.16,57751.39,697.0,16.9,"Unemployed","Car","Unknown",0.676,0.0,240.0,23.09,"Approved","2024-01-16",2024.0,1.0,"Lower-Mid (20-40K)","Good"
270278685,65.0,"Female","Single","Bachelor",36065.72,474896.35,843.0,36.7,"Unemployed","Home","Mortgage",0.668,0.0,360.0,5.31,"Approved","2020-01-24",2020.0,1.0,"Lower-Mid (20-40K)","Excellent"
510591798,64.0,"Male","Married","Bachelor",14237.83,82737.78,679.0,4.9,"Part-Time","Education","Own",0.456,1.0,120.0,16.44,"Rejected","2023-09-10",2023.0,9.0,"Low (<20K)","Good"
310002293,50.0,"Female","Single","Bachelor",18613.41,471658.04,657.0,9.3,"Full-Time","Business","Own",0.421,1.0,60.0,13.81,"Approved","2021-07-21",2021.0,7.0,"Low (<20K)","Fair"
754503573,46.0,"Female","Married","Bachelor",18291.20,441746.03,702.0,6.8,"Full-Time","Business","Mortgage",0.585,1.0,360.0,23.93,"Approved","2025-05-11",2025.0,5.0,"Low (<20K)","Good"
687878444,50.0,"Male","Unknown","High School",66275.40,397014.17,733.0,1.5,"Unemployed","Car","Rent",0.629,2.0,240.0,19.90,"Rejected","2023-02-28",2023.0,2.0,"High (60K+)","Good"
883625179,53.0,"Male","Single","High School",16584.36,4439.79,758.0,30.8,"Part-Time","Medical","Own",0.119,1.0,240.0,17.82,"Approved","2025-06-27",2025.0,6.0,"Low (<20K)","Very Good"
501736327,71.0,"Female","Single","Bachelor",37923.17,120154.54,679.0,28.2,"Part-Time","Car","Rent",0.634,1.0,24.0,13.88,"Rejected","2020-08-02",2020.0,8.0,"Lower-Mid (20-40K)","Good"
108261329,36.0,"Male","Married","High School",24710.85,216487.61,677.0,30.8,"Unemployed","Car","Rent",0.092,1.0,48.0,13.88,"Approved","2019-08-14",2019.0,8.0,"Lower-Mid (20-40K)","Good"
732123887,46.0,"Female","Married","Unknown",18975.92,469427.00,751.0,19.7,"Self-Employed","Medical","Mortgage",0.491,2.0,12.0,16.51,"Approved",NULL,NULL,NULL,"Low (<20K)","Very Good"
